Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1.71E+12,13/02/2024 11:27,1.71E+12,0,13/02/2024 11:27,123845,3,questionnaire-epx8,,35086366,BLIND,10370290,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,Emotibit_ID,4,No,BEGIN QUESTIONNAIRE,
2,1.71E+12,13/02/2024 11:27,1.71E+12,0,13/02/2024 11:27,123845,3,questionnaire-epx8,,35086366,BLIND,10370290,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,Emotibit_ID,4,No,eid_colour,orange
3,1.71E+12,13/02/2024 11:27,1.71E+12,0,13/02/2024 11:27,123845,3,questionnaire-epx8,,35086366,BLIND,10370290,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,Emotibit_ID,4,No,eid_colour-quantised,1
4,1.71E+12,13/02/2024 11:27,1.71E+12,0,13/02/2024 11:27,123845,3,questionnaire-epx8,,35086366,BLIND,10370290,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,Emotibit_ID,4,No,eid_number,4
5,1.71E+12,13/02/2024 11:27,1.71E+12,0,13/02/2024 11:27,123845,3,questionnaire-epx8,,35086366,BLIND,10370290,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,Emotibit_ID,4,No,eid_number-quantised,4
6,1.71E+12,13/02/2024 11:27,1.71E+12,0,13/02/2024 11:27,123845,3,questionnaire-epx8,,35086366,BLIND,10370290,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,Emotibit_ID,4,No,END QUESTIONNAIRE,9201
1,1.71E+12,13/02/2024 11:33,1.71E+12,0,13/02/2024 11:32,123845,3,questionnaire-epx8,,35086859,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,Emotibit_ID,4,No,BEGIN QUESTIONNAIRE,
2,1.71E+12,13/02/2024 11:33,1.71E+12,0,13/02/2024 11:33,123845,3,questionnaire-epx8,,35086859,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,Emotibit_ID,4,No,eid_colour,green
3,1.71E+12,13/02/2024 11:33,1.71E+12,0,13/02/2024 11:33,123845,3,questionnaire-epx8,,35086859,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,Emotibit_ID,4,No,eid_colour-quantised,4
4,1.71E+12,13/02/2024 11:33,1.71E+12,0,13/02/2024 11:33,123845,3,questionnaire-epx8,,35086859,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,Emotibit_ID,4,No,eid_number,6
5,1.71E+12,13/02/2024 11:33,1.71E+12,0,13/02/2024 11:33,123845,3,questionnaire-epx8,,35086859,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,Emotibit_ID,4,No,eid_number-quantised,6
6,1.71E+12,13/02/2024 11:33,1.71E+12,0,13/02/2024 11:33,123845,3,questionnaire-epx8,,35086859,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,Emotibit_ID,4,No,END QUESTIONNAIRE,7329
1,1.71E+12,13/02/2024 11:37,1.71E+12,0,13/02/2024 11:37,123845,3,questionnaire-epx8,,35087320,BLIND,10370528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,2560x1440,1161x1024,,,,Emotibit_ID,4,No,BEGIN QUESTIONNAIRE,
2,1.71E+12,13/02/2024 11:37,1.71E+12,0,13/02/2024 11:37,123845,3,questionnaire-epx8,,35087320,BLIND,10370528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,2560x1440,1161x1024,,,,Emotibit_ID,4,No,eid_colour,blue
3,1.71E+12,13/02/2024 11:37,1.71E+12,0,13/02/2024 11:37,123845,3,questionnaire-epx8,,35087320,BLIND,10370528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,2560x1440,1161x1024,,,,Emotibit_ID,4,No,eid_colour-quantised,5
4,1.71E+12,13/02/2024 11:37,1.71E+12,0,13/02/2024 11:37,123845,3,questionnaire-epx8,,35087320,BLIND,10370528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,2560x1440,1161x1024,,,,Emotibit_ID,4,No,eid_number,8
5,1.71E+12,13/02/2024 11:37,1.71E+12,0,13/02/2024 11:37,123845,3,questionnaire-epx8,,35087320,BLIND,10370528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,2560x1440,1161x1024,,,,Emotibit_ID,4,No,eid_number-quantised,8
6,1.71E+12,13/02/2024 11:37,1.71E+12,0,13/02/2024 11:37,123845,3,questionnaire-epx8,,35087320,BLIND,10370528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,2560x1440,1161x1024,,,,Emotibit_ID,4,No,END QUESTIONNAIRE,8583
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,